Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,ese,-0.16453170447109997,-0.9516903434990631,0.5384615384615384,0.5031847133757962,0.65625,103/220,29.68%,GPAM;C9orf135;C11orf97;DYNLRB2;FAM216B;NUP62CL;AURKA;AGR3;FAM162B;APOBEC3B;SNTN;CCDC113;NAPSB;PSPH;DCDC2;C7orf57;SPA17;HK2;KIF4A;TAF7L;CCNB1;SCNN1G;RAD51AP1;ALYREF;DEPDC1B;AKR1C3;LACTB2;CAPSL;EFHB;ZBBX;RIT1;GGH;SKA1;DIRAS2;GRAMD1C;FAM155A;CENPL;DNAJC9;NIPSNAP3A;ANLN;CENPK;KIF14;PSMA5;PLPPR4;MNS1;HMGB2;TTF2;DBR1;BPGM;FBXO5;SLC26A4;ASB3;ADAT1;EI24;KBTBD7;TADA1;LMNB1;OSTF1;TTC30B;RBBP5;ZNF823;THAP10;RWDD3;MIS18A;GMCL1;NUDCD2;BBS12;ZNF468;GTF2H3;TEX9;FAM81B;PCSK5;NUF2;CENPH;IRAK1BP1;CMPK2;NETO2;ADGRB3;ERGIC1;TIGAR;HAUS1;TTC30A;CDC6;PAXIP1;IL15;TBPL1;EGFL6;EBNA1BP2;PALB2;GSPT2;JKAMP;ADAM12;SPAG1;GSKIP;HIBCH;CMSS1;RGS7BP;LRP11;SLC25A43;ATAD2;NUP35;CHCHD3;LLPH
gsea,early,0.16965886421183968,0.8058940878912932,0.6086956521739131,1.0,0.38,450/1048,27.59%,S100A8;CPE;POSTN;UGCG;EOGT;MGP;SYTL4;PPP1R12A;LYZ;MAP4K5;LXN;PTP4A2;TRAF5;CHD1;GLT8D2;PKD2;RND3;DOCK10;SLC38A2;PDGFC;GPNMB;RSPO3;ZNF25;PLOD2;ATL1;CRY1;MAGT1;SGCE;PALLD;RUNDC3B;ANKRD12;CHSY1;CHMP2B;COL21A1;KIZ;DZIP1;RAB31;KCTD3;SEC23A;SERINC1;POGLUT3;KDSR;TWSG1;EIF2AK4;RECQL;PRKD1;TTC14;PNPLA8;FERMT2;NPHP3;NSRP1;CTPS1;CEBPZ;IBTK;IL13RA1;RHOQ;PGM2;RB1CC1;HNRNPH3;CNN3;PEG3;NET1;COL5A2;RALGAPA1;WBP4;CTSO;CDH13;KLHL5;PPP3R1;RAB11FIP2;CCDC91;DMTF1;CLK1;TOPORS;CLMP;IPO5;ARMC1;RBM25;TUBE1;NAP1L5;CCNG1;BNIP2;IMPA1;VCAN;CDCA7L;CAPN2;SLC12A2;FAM20B;GBP1;PIK3CA;DDX5;DEK;RAI14;NAP1L3;IQGAP1;SLFN11;FAM8A1;SDC2;DAAM1;GCH1;TCEAL9;LIMA1;ZNF281;HTR2B;KRIT1;PAPSS2;CFAP36;MYH10;RRN3;PRPS2;ZFAND1;YES1;PDCD4;HNRNPDL;TSPYL5;SWAP70;EFEMP1;YTHDC2;PNN;EPB41L3;TTC8;CEP135;UGDH;RLF;PPIG;TOPBP1;CAV2;HMCN1;CTSZ;ARL6IP5;STXBP3;FAM98A;MAN2A1;HPS5;ABCE1;FBN1;UBE2Q2;MINDY2;CEP63;SLC38A6;BAZ2B;EID1;TOGARAM1;EIF5B;DDX21;BLOC1S6;CAST;LSM14A;ARHGAP18;GLUD1;DMXL1;CASP8AP2;CIR1;APP;NOP58;PPP1R2;AK3;ATP10D;EML1;NUCB2;USP16;CAPN7;DNAJB6;CAPZA2;ANKRD6;MAP4K3;PPP1R15B;HEXB;CYYR1;SMARCA1;ARL8B;UBLCP1;NCEH1;SACM1L;SYNJ2BP;SCPEP1;RPAP3;KPNA3;OTUD6B;ERGIC2;MOB1B;CAP2;WDR41;LARP7;CREG1;BTBD1;TRAPPC6B;TMEM123;CSDE1;UTP3;MTREX;INSIG2;EAF1;CWC27;HSPBAP1;KDM3A;ARRDC4;ICE1;EIF2AK3;ZNF573;C6orf120;ACSL3;ZNF700;ATG5;AKIRIN1;SS18L1;HERPUD2;PPT1;RANBP9;PLAGL1;PIBF1;NAA15;RAD21;SHPRH;NEMF;PJVK;HLTF;INTS8;C2CD5;CHUK;RSRC2;SRP72;MSH6;POGLUT1;CLK4;RBBP7;UFSP2;ASF1A;RHOT1;SLC35A1;RABGGTB;MED4;PCMTD2;PENK;CHORDC1;DMXL2;INTU;ZNF277;MTPAP;RAB22A;EIF2A;INTS2;UFL1;ABCB10;MIB1;UTP11;CWC22;FEM1C;MTR;SLC9A6;LAMB1;SGPP1;MAP4K4;APPL1;OAT;EXOC8;PRTFDC1;CACHD1;MIS12;TTC3;WDR19;TRIT1;SLC16A14;TCEAL8;FKBP14;ZNF23;BMT2;CDC7;GPBP1;LONRF2;GNL3;TTC13;ZNF140;ZBTB11;DNAJA2;TRIM22;ATG4C;BAG2;ANKMY2;RBM34;PNPT1;PMAIP1;ZNF271P;FZD6;CUL1;WIF1;HEATR5B;UPF2;H2AZ2;OSBPL1A;ACTR2;RBIS;OLFM4;TTC37;MSMO1;UBE4A;EIF3J;RAB23;MICU2;CEP57;EPB41L2;ME1;LRRN1;KIF21A;ARL14EP;TAX1BP1;DENND4C;CLUAP1;GINM1;SMARCA5;BTG3;ANKRD29;KLHL8;PAPOLA;BUB3;FAM210B;EIF3E;RPS6KC1;CAAP1;KCTD18;SMC3;SMAP1;PRPF18;ACTR6;NDUFAF7;TSR1;CEP192;GNL2;SNX30;SCARB2;UBE2V2;CPM;THUMPD1;ECPAS;SLC25A46;ARMCX1;SPATA7;ZFP1;SLC39A10;GDI2;UBXN4;GTF2B;METTL4;EEF1AKMT2;SRSF6;MFN1;DNTTIP2;OXR1;RDH11;SCP2;METAP2;EED;SCAF8;CUL2;HEATR5A;TRMT6;TMA16;TRIM6;PPP2R3C;PPIL4;OBI1;VAMP7;UXS1;RNF20;PAK1IP1;SDAD1;SLC18B1;UBP1;SRSF10;ZC3H7A;DHX29;SACS;WASHC3;PRPF39;RSRP1;VEZT;EFCAB7;HSF2;ING2;SYDE2;CENPW;SNX2;RINT1;SNX6;NDUFA5;CRNKL1;C2orf69;ZNF766;FRMD4B;SLTM;AHCYL1;NLK;BBS7;GBP3;SSB;POLK;DDX55;RBM4;DCAF13;ARHGAP12;NOL8;PTCD3;WDR47;MLLT3;SELENOF;PNMA8A;PLCB4;UBE2D1;PIGK;FAM98B;LRPPRC;POT1;LARS1;UBQLN1;ETAA1;BORCS7;NTN4;HAT1;ZNF217;RPF1;RFC1;F2R;POLI;EIF3L;MYO1B;STK39;C12orf4;RCBTB2;XPOT;NUDT12;THOC2;PHYH;MDM1;ZCRB1;LRRC40;MITD1;CCNJ;CRYZ;ZNF711;TMEM87A;SLC25A32;LCLAT1;GIMAP7;RBBP8;TOP2B;TIA1;POLA1;HSP90AA1;TDP2;HNRNPA2B1
gsea,pe,0.16686820793450546,0.8018339770742781,0.5652173913043478,1.0,0.38,515/1260,25.95%,MAMDC2;CPE;SYNC;POSTN;GATM;UGCG;UAP1;CTHRC1;EOGT;FAM102B;MGP;SYTL4;PPP1R12A;LYZ;MAP4K5;LXN;PTP4A2;TRAF5;CHD1;GLT8D2;PKD2;RND3;TNC;DOCK10;SLC38A2;PDGFC;GPNMB;RSPO3;ZNF25;NEK7;PLOD2;ATL1;CRY1;MAGT1;ZNF14;SGCE;CAV1;VGLL3;NFYB;DNAJB14;PALLD;RUNDC3B;ANKRD12;CHSY1;CHMP2B;COL21A1;KIZ;GNG12;DZIP1;RAB31;FRMD6;BMPR2;KCTD3;SEC23A;SERINC1;GALNT3;POGLUT3;KDSR;TWSG1;MFSD1;EIF2AK4;RECQL;ZNF600;PRKD1;PNPLA8;ZSWIM6;FERMT2;NPHP3;NSRP1;CTPS1;CEBPZ;IBTK;IL13RA1;HDGFL3;RHOQ;PGM2;RB1CC1;HNRNPH3;CNN3;COL5A2;RALGAPA1;WBP4;CDH13;KLHL5;PPP3R1;RAB11FIP2;CCDC91;CLK1;DACT1;TOPORS;CLMP;IPO5;RAP2C;PPP3CA;ARMC1;RBM25;TUBE1;NAP1L5;CCNG1;BNIP2;IMPA1;VCAN;CDCA7L;CAPN2;SLC12A2;ARL5A;HS2ST1;FAM20B;GBP1;PIK3CA;DEK;RAI14;KPNA4;MTDH;NAP1L3;IQGAP1;SLFN11;EIF2S1;FAM8A1;SDC2;DAAM1;GCH1;VASH2;TCEAL9;LIMA1;ZNF281;HTR2B;PAPSS2;DCTN4;CFAP36;MYH10;RRN3;GALNT1;PRPS2;WDR44;ZFAND1;YES1;PDCD4;HNRNPDL;TSPYL5;SMNDC1;SWAP70;EFEMP1;PNN;EPB41L3;CEP135;UGDH;RLF;PPIG;TOPBP1;KLF10;CAV2;HMCN1;CTSZ;ZNF462;ARL6IP5;STXBP3;EPS8;FAM98A;MAN2A1;HPS5;ABCE1;FBN1;UBE2Q2;CEP63;SLC38A6;BAZ2B;LYRM1;EID1;TOGARAM1;EIF5B;DDX21;BLOC1S6;NHS;LSM14A;ARHGAP18;GLUD1;DMXL1;CASP8AP2;ZMPSTE24;CIR1;SNX10;APP;NOP58;PPP1R2;AK3;ATP10D;EML1;TMEM117;NUCB2;USP16;CAPN7;DNAJB6;SLC46A3;CAPZA2;ANKRD6;MAP4K3;PPP1R15B;HEXB;CYYR1;SMARCA1;C4orf3;ARL8B;MIS18BP1;UBLCP1;ZMYM4;NCEH1;SDCBP;SACM1L;SYNJ2BP;SCPEP1;RPAP3;KPNA3;OTUD6B;TTC33;ERGIC2;MOB1B;CAP2;WDR41;LARP7;SUCLG2;PGBD1;BTBD1;ATP1B3;TRAPPC6B;TMEM123;CSDE1;UTP3;MTREX;EAF1;CWC27;HSPBAP1;KDM3A;ARRDC4;ICE1;EIF2AK3;SNX4;ZNF573;C6orf120;ACSL3;ZNF700;ATG5;AKIRIN1;SS18L1;HERPUD2;PPT1;RANBP9;PIBF1;NAA15;RAD21;SHPRH;NEMF;SRSF3;PJVK;HLTF;INTS8;C2CD5;MLF1;CHUK;RIN2;RSRC2;SRP72;MSH6;POGLUT1;CLK4;RBBP7;NARS1;KATNBL1;UFSP2;ASF1A;RHOT1;SLC35A1;RP2;RABGGTB;MED4;PCMTD2;CHORDC1;DMXL2;INTU;ZNF277;MTPAP;RAB22A;EIF2A;INTS2;UFL1;ABCB10;MIB1;UTP11;ACBD3;CWC22;ZBTB2;FEM1C;SLC9A6;LAMB1;SGPP1;CCDC59;MAP4K4;ARL15;APPL1;OAT;EXOC8;PRTFDC1;CCDC47;CACHD1;MIS12;TTC3;EIF5;SLC16A14;TCEAL8;FKBP14;ZNF23;BMT2;DCAF16;CDC7;ARHGEF3;GPBP1;LONRF2;GNL3;TTC13;ZNF140;NMI;DPP8;ZBTB11;DNAJA2;TRIM22;KIAA1586;ATG4C;BAG2;ANKMY2;RBM34;CLIC2;PNPT1;PMAIP1;ZNF271P;FZD6;CUL1;WIF1;HEATR5B;TRIB2;SEH1L;UPF2;H2AZ2;OSBPL1A;ACTR2;RBIS;OLFM4;TTC37;MSMO1;UBE4A;EIF3J;RAB23;MICU2;CEP57;EPB41L2;ME1;LRRN1;KIF21A;ARL14EP;TAX1BP1;DENND4C;CLUAP1;GINM1;SMARCA5;BTG3;ANKRD29;KLHL8;PAPOLA;UGP2;BUB3;FAM210B;EIF3E;RPS6KC1;CAAP1;KCTD18;GRAMD2B;SMC3;EXOC5;DPYSL2;ACER3;SMAP1;STAM;PRPF18;ACTR6;NDUFAF7;TSR1;TERF1;TCP1;CEP192;GNL2;SNX30;UBE2V2;GSDME;CPM;HDHD2;THUMPD1;ECPAS;ANKRD27;SLC25A46;ARMCX1;SPATA7;ZFP1;IQGAP2;SLC39A10;GDI2;UBXN4;GTF2B;METTL4;EEF1AKMT2;CCNH;MFN1;DNTTIP2;OXR1;PRPF38A;RDH11;ARMCX3;SCP2;METAP2;EED;SCAF8;CUL2;HEATR5A;TRMT6;TMA16;DCK;TRIM6;PPP2R3C;PPIL4;OBI1;VAMP7;UXS1;G2E3;RNF20;PAK1IP1;SDAD1;FAM114A2;SLC18B1;UBP1;SRSF10;ZC3H7A;DHX29;SACS;TRMT10C;WASHC3;PRPF39;RSRP1;VEZT;EFCAB7;HSF2;SLC66A3;ING2;SYDE2;CENPW;SNX2;RINT1;SNX6;NDUFA5;CRNKL1;C2orf69;ZNF766;FRMD4B;WDR70;SLTM;AHCYL1;NLK;THOC7;BBS7;GBP3;SSB;POLK;DDX55;RBM4;DCAF13;ARHGAP12;NOL8;PTCD3;LINC00968;WDR47;MLLT3;SELENOF;PNMA8A;PLCB4;UBE2D1;PIGK;FAM98B;LRPPRC;RAB1A;POT1;PSD3;ATAD1;NT5C2;SNW1;CDC27;UBQLN1;ETAA1;BORCS7;NTN4;HAT1;ZNF217;RPF1;RFC1;F2R;POLI;EIF3L;HSPA12A;TM4SF18;MYO1B;STK39;RNF111;C12orf4;PCMT1;RCBTB2;TSN;XPOT;NUDT12;THOC2
gsea,mse,0.1455629499455186,0.691930821419268,0.64,1.0,0.42,247/661,24.04%,MAMDC2;SYNC;NFIL3;ERRFI1;MIR22HG;EOGT;NFIA;SYTL4;TENT5A;CHD1;PWWP3B;CCPG1;ZNF25;PLOD2;CRY1;MAGT1;ZNF14;SGCE;DNAJB14;RUNDC3B;CHMP2B;COL21A1;SNORA25;VPS36;KCTD3;SERINC1;EPS15;POGLUT3;KDSR;EIF2AK4;RECQL;ZNF600;TTC14;PNPLA8;FERMT2;NPHP3;NSRP1;IL13RA1;RHOQ;RB1CC1;KAT2B;NFIB;PEG3;RALGAPA1;AASS;WBP4;PPP3R1;RAB11FIP2;CCDC91;CLK1;TOPORS;TUBE1;LONRF1;NAP1L5;BNIP2;IMPA1;SLC12A2;GBP1;PHACTR2;NAP1L3;FAM8A1;DAAM1;GCH1;LIMA1;ZNF281;HTR2B;KRIT1;RRN3;WDR44;SLC22A3;ZFAND1;SWAP70;TTC8;RLF;ALG13;IFNGR1;ADAMTS5;CAV2;CTSZ;SCAPER;FAM13C;ZNF462;ARL6IP5;HPS5;MINDY2;SLC38A6;BAZ2B;TOGARAM1;BLOC1S6;PKN2;KLHL2;ARHGAP18;GLUD1;DMXL1;CASP8AP2;CIR1;PRKAG2;ATP1B1;NOP58;ELF1;AK3;ATP10D;EML1;NUCB2;CAPZA2;ANKRD6;MAP4K3;UBLCP1;NCEH1;SPTSSA;SACM1L;SYNJ2BP;OTUD6B;TTC33;MOB1B;WDR41;CREG1;AMY2B;TRAPPC6B;ZNF189;BIRC3;EAF1;CWC27;KDM3A;ARRDC4;ICE1;EIF2AK3;ZNF573;C6orf120;ACSL3;ZNF700;HERPUD2;XK;DKK1;PLAGL1;PIBF1;SHPRH;NEMF;PJVK;C2CD5;CHUK;RIN2;SRP72;CLK4;UFSP2;RHOT1;SLC35A1;RP2;MED4;PCMTD2;CHORDC1;DMXL2;INTU;ZNF277;UFL1;ABCB10;MIB1;CWC22;RHOBTB3;MTR;TRIM2;APPL1;EXOC8;PRTFDC1;MIS12;TMCC3;SGMS1;ZNF23;BMT2;USP53;ZNF140;TASOR;ZBTB11;ANKMY2;RBM34;MCC;FZD6;WIF1;HEATR5B;UPF2;OSBPL1A;TMTC3;RBIS;RRAGD;OLFM4;TTC37;MSMO1;RAB23;MICU2;DENND4C;GINM1;KLHL8;PAPOLA;RPS6KC1;CAAP1;KCTD18;SMC3;PRPF18;ACTR6;GNL2;SNX30;THUMPD1;ECPAS;MEF2A;ENPP4;SLC25A46;ARMCX1;ZFP1;IQGAP2;EEF1AKMT2;MFN1;OXR1;RDH11;TRAPPC2;SCAF8;TRMT6;TMA16;FAM177A1;PPP2R3C;PPIL4;OBI1;UXS1;SDAD1;ZC3H7A;DHX29;SACS;WASHC3;PRPF39;RSRP1;VEZT;EFCAB7;ING2;NDUFA5;CRNKL1;ZNF766;FRMD4B;NLK;BBS7;GBP3;POLK;RBM4;ARHGAP12;WDR47;SELENOF;PLCB4;PIGK;BNIP3L
gsea,unstrat,0.11796287462179439,0.5674793552965786,0.76,0.9615384615384616,0.48,225/647,24.09%,CPE;POSTN;CTHRC1;EOGT;MGP;SYTL4;GLT8D2;RND3;PDGFC;SFRP4;PLOD2;ATL1;CRY1;SGCE;RUNDC3B;CHSY1;CHMP2B;COL21A1;KIZ;KCTD3;SEC23A;POGLUT3;KDSR;TWSG1;EIF2AK4;RECQL;PRKD1;NSRP1;CEBPZ;IL13RA1;RHOQ;RB1CC1;CNN3;CDH13;KLHL5;PPP3R1;RAB11FIP2;CCDC91;TOPORS;TUBE1;NAP1L5;CDCA7L;SLC12A2;RAI14;NAP1L3;GCH1;ZNF281;HTR2B;SLC47A1;CFAP36;RRN3;TSPYL5;SMNDC1;SWAP70;EFEMP1;EPB41L3;UGDH;RLF;TOPBP1;CAV2;HMCN1;CTSZ;ZNF462;MAN2A1;HPS5;ABCE1;UBE2Q2;SLC38A6;BAZ2B;TOGARAM1;BLOC1S6;ARHGAP18;GLUD1;DMXL1;CASP8AP2;CIR1;ATP1B1;AK3;EML1;NUCB2;DNAJB6;CAPZA2;ANKRD6;MAP4K3;SMARCA1;UBLCP1;NCEH1;SCPEP1;KPNA3;OTUD6B;TTC33;MOB1B;CAP2;WDR41;TRAPPC6B;CSDE1;UTP3;EAF1;CWC27;ICE1;EIF2AK3;ZNF573;C6orf120;HERPUD2;PIBF1;NAA15;SHPRH;HLTF;C2CD5;CHUK;SRP72;POGLUT1;UFSP2;ASF1A;RHOT1;MED4;PCMTD2;PENK;CHORDC1;DMXL2;INTU;ZNF277;MTPAP;RAB22A;INTS2;UFL1;ABCB10;MIB1;CWC22;FEM1C;APPL1;EXOC8;PRTFDC1;MIS12;SLC16A14;FKBP14;ZNF23;BMT2;CDC7;ZNF140;DNAJA2;ATG4C;BAG2;ANKMY2;RBM34;PMAIP1;ZNF271P;WIF1;HEATR5B;UPF2;H2AZ2;OSBPL1A;RBIS;OLFM4;MSMO1;RAB23;MICU2;CEP57;ME1;LRRN1;KIF21A;ARL14EP;GINM1;ANKRD29;KLHL8;PAPOLA;EIF3E;RPS6KC1;CAAP1;KCTD18;SMC3;PRPF18;ACTR6;GNL2;SNX30;UBE2V2;CPM;ARMCX1;SPATA7;ZFP1;UBXN4;GTF2B;METTL4;EEF1AKMT2;MFN1;OXR1;RDH11;EED;CUL2;TRMT6;TMA16;TRIM6;PPP2R3C;PPIL4;OBI1;VAMP7;UXS1;SDAD1;SLC18B1;ZC3H7A;DHX29;SACS;PRPF39;VEZT;EFCAB7;ING2;SYDE2;CENPW;RINT1;NDUFA5;CRNKL1;C2orf69;NLK;BBS7;GBP3;SSB;DCAF13;PTCD3;WDR47;MLLT3;PNMA8A;PLCB4;UBE2D1;PIGK;FAM98B
gsea,late,0.1038275901005711,0.47819288545823957,0.9565217391304348,0.8461538461538461,0.52,179/535,24.09%,CPE;POSTN;CTHRC1;EOGT;MGP;SYTL4;GLT8D2;RND3;PDGFC;SFRP4;PLOD2;ATL1;CRY1;SGCE;RUNDC3B;CHMP2B;COL21A1;KIZ;POGLUT3;KDSR;EIF2AK4;RECQL;IL13RA1;CNN3;KLHL5;PPP3R1;CCDC91;TOPORS;TUBE1;NAP1L5;HACD1;CDCA7L;SLC12A2;RAI14;NAP1L3;GCH1;VASH2;ZNF281;HTR2B;SLC47A1;CFAP36;RRN3;SMNDC1;SWAP70;EFEMP1;EPB41L3;UGDH;RLF;CAV2;HMCN1;CTSZ;ZNF462;HPS5;ABCE1;SLC38A6;TOGARAM1;BLOC1S6;ARHGAP18;CASP8AP2;ATP1B1;AK3;EML1;NUCB2;DNAJB6;ANKRD6;MAP4K3;UBLCP1;NCEH1;SCPEP1;KPNA3;TTC33;MOB1B;CAP2;TRAPPC6B;EAF1;CWC27;EIF2AK3;ZNF573;HERPUD2;PIBF1;NAA15;SHPRH;HLTF;MLF1;SRP72;POGLUT1;UFSP2;RHOT1;RP2;MED4;PENK;INTU;ZNF277;MTPAP;INTS2;UFL1;ABCB10;MIB1;CWC22;FEM1C;APPL1;EXOC8;PRTFDC1;MIS12;SLC16A14;FKBP14;ZNF23;BMT2;ZNF140;ATG4C;BAG2;ANKMY2;RBM34;PMAIP1;ZNF271P;WIF1;OSBPL1A;RBIS;OLFM4;MSMO1;RAB23;CEP57;ME1;LRRN1;KIF21A;ARL14EP;GINM1;ANKRD29;KLHL8;PAPOLA;EIF3E;RPS6KC1;CAAP1;KCTD18;SMC3;ACTR6;GNL2;SNX30;UBE2V2;CPM;ARMCX1;SPATA7;ZFP1;IQGAP2;METTL4;EEF1AKMT2;OXR1;RDH11;EED;CUL2;TRMT6;TMA16;TRIM6;PPIL4;OBI1;UXS1;SDAD1;SLC18B1;DHX29;SACS;PRPF39;VEZT;EFCAB7;ING2;SYDE2;CENPW;NDUFA5;CRNKL1;C2orf69;NLK;BBS7;GBP3;DCAF13;WDR47;MLLT3;PNMA8A;UBE2D1;PIGK;FAM98B
