Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
LINC00575,1459,6.579058037,6.601927602,243.3262541,0,0,853.7347591
STK24,27944,11.50194182,11.46690673,243.3020443,0,0,853.7021281
IFT74,5434,6.496727185,6.498750162,243.2979295,0,0,853.6965815
CHRND,13993,13.26717284,13.29149955,243.2895859,0,0,853.6853347
FAM207A,11721,6.746678715,6.734765624,243.2578292,0,0,853.6425245
CLIC4,14346,6.402874408,6.42404459,243.2102486,0,0,853.5783717
BCL2L14,9713,7.143299697,7.112770812,243.193593,0,0,853.5559121
LOC105378085,16690,6.628823128,6.658787319,243.155944,0,0,853.5051376
SDK2,9760,6.575877468,6.559833783,243.1145827,0,0,853.4493475
NEIL2,18956,6.628793647,6.63907833,243.0709022,0,0,853.3904187
COPS8,19410,6.427736048,6.450549325,243.0430565,0,0,853.3528469
SLC6A7,2151,6.758131741,6.749773365,243.0003922,0,0,853.295272
FGG,16415,6.559606442,6.600558968,242.9092134,0,0,853.1721934
PSMB8,20739,6.509911247,6.524064,242.9064427,0,0,853.1684525
COL25A1,5883,10.49364356,10.46150351,242.7884163,0,0,853.0090621
LLPHP3,6259,7.436239153,7.393729835,242.7692371,0,0,852.9831539
NIBAN2,4500,6.696397477,6.668082984,242.7485992,0,0,852.9552728
MYADML2,16552,6.761715223,6.75334472,242.7086281,0,0,852.9012666
IL19,26463,6.756877882,6.785736033,242.7048958,0,0,852.8962234
OLFML3,6541,6.614171156,6.594156979,242.6912881,0,0,852.8778352
PDIA3,20947,6.657254246,6.641080181,242.6791736,0,0,852.861464
ATP2B3,14480,6.785546712,6.777679987,242.6380914,0,0,852.8059403
MS4A13,26366,6.538314687,6.531961949,242.586248,0,0,852.735859
STRIP1,9322,6.796253263,6.794885874,242.5125065,0,0,852.6361501
GCNT1,23001,6.602742705,6.610439568,242.4049806,0,0,852.490705
TMEM128,18623,6.432098714,6.427044321,242.3677544,0,0,852.4403356
LOC728196,7339,6.598506476,6.577924904,242.3296326,0,0,852.3887464
ZNF639,25166,6.59651832,6.575987764,242.2992477,0,0,852.3476215
COX6CP18,8774,6.463810307,6.486824318,242.2641152,0,0,852.3000643
KIRREL3,9540,6.987759108,6.995433931,242.259614,0,0,852.2939708
FCRL4,26258,6.311699648,6.284067695,242.2480927,0,0,852.2783731
CASP4,24838,6.635021092,6.665595113,242.2473003,0,0,852.2773003
SYNJ2BP,2209,6.795763894,6.787874582,242.2318778,0,0,852.25642
WDPCP,12953,7.064397496,7.042297375,242.0785733,0,0,852.0487897
SOX11,20650,6.528036452,6.507708903,242.0539222,0,0,852.0153907
ZNF271P,23252,6.564420238,6.591782483,242.0102012,0,0,851.956146
COL28A1,9223,6.419517819,6.410849892,241.9890175,0,0,851.9274368
HCAR3,4425,6.905891778,6.893334834,241.9736,0,0,851.9065408
ASH1L-AS1,4817,6.980224867,6.973737946,241.9698592,0,0,851.9014705
PRR32,18504,6.772364721,6.763959915,241.8997372,0,0,851.8064122
DNMT3L,14727,6.648881713,6.683912996,241.8850617,0,0,851.7865144
PDXP,984,6.516891306,6.536327348,241.8660747,0,0,851.760769
EXOC4,13167,6.755043754,6.750194521,241.854763,0,0,851.7454301
C12orf40,5671,6.831218807,6.783242429,241.8281229,0,0,851.7093022
STMN1,9755,6.633608009,6.617433679,241.8274655,0,0,851.7084107
AKIP1,8527,7.020773497,6.996137733,241.8104364,0,0,851.6853147
MAS1LP1,24451,14.11792244,14.19395263,241.7799385,0,0,851.6439472
PDXDC1,24045,7.035871147,7.066794211,241.7227516,0,0,851.5663645
ZNF319,17534,6.386414713,6.37970041,241.6466484,0,0,851.4630902
EBLN2,5221,6.582507491,6.563780018,241.6031227,0,0,851.4040097
UTF1,22701,6.414061889,6.426867323,241.5461006,0,0,851.3265934
NCBP3,23947,7.208610837,7.165203564,241.4923585,0,0,851.2536133
PDCL3P4,8043,6.672163748,6.665389629,241.483801,0,0,851.241991
NUDT10,21832,6.496244641,6.498281403,241.4689638,0,0,851.2218388
HJURP,14548,10.17567916,10.15591559,241.4594059,0,0,851.2088566
LINC02872,22401,6.66126614,6.68267528,241.4549931,0,0,851.2028626
STRIP2,14520,6.61604045,6.584077932,241.4397173,0,0,851.1821123
PCDH11Y,13540,7.090673182,7.018074317,241.3770664,0,0,851.0969948
GPLD1,21720,6.810384212,6.779226705,241.3687137,0,0,851.0856451
FKBP15,5477,6.781933414,6.788077585,241.3293772,0,0,851.0321893
