Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
SLPI,6776,-0.02076957,6.386109984,-0.990640947,0.322581334,0.99995045,-5.22057169
RAD9B,7938,-0.020018326,6.492020607,-0.990491306,0.322654325,0.99995045,-5.220702
HSPA4,23039,-0.087219273,8.563523734,-0.990487874,0.322655999,0.99995045,-5.220704988
EYA2,18538,-0.020374149,6.364320392,-0.990473205,0.322663155,0.99995045,-5.220717761
LOC105370613,17023,0.045709507,7.028612342,0.990380277,0.322708489,0.99995045,-5.220798673
LOC105374017,24999,0.044664038,6.828220827,0.990255704,0.322769267,0.99995045,-5.220907126
RALGDS,12052,0.196485975,7.190808719,0.990173278,0.322809486,0.99995045,-5.220978879
TAZ,12101,0.198136104,7.362421356,0.990015595,0.322886436,0.99995045,-5.221116127
NECTIN2,22156,0.046721136,7.072456999,0.990013132,0.322887638,0.99995045,-5.221118271
EML1,2331,0.160982523,7.824695325,0.989964718,0.322911267,0.99995045,-5.221160406
RPL14,11717,0.053930539,6.771426544,0.989959949,0.322913594,0.99995045,-5.221164556
LOC105370068,14694,0.091141244,9.465451377,0.989925261,0.322930524,0.99995045,-5.221194744
FBXO40,7190,-0.024446697,6.564308173,-0.98990412,0.322940843,0.99995045,-5.221213142
ARNT,27027,-0.030978371,6.683381082,-0.989620575,0.323079259,0.99995045,-5.221459859
C17orf100,3602,-0.019995761,6.595141639,-0.989460066,0.32315763,0.99995045,-5.221599489
FANCC,17030,0.119326575,7.255996352,0.989395722,0.323189051,0.99995045,-5.221655457
OPA3,1246,-0.046869865,7.191739636,-0.98923675,0.323266689,0.99995045,-5.221793719
TMEM199,18403,0.076076174,10.26742776,0.989208098,0.323280684,0.99995045,-5.221818637
RPLP1P7,14555,0.20674353,7.858506969,0.989191859,0.323288615,0.99995045,-5.221832758
STX7,9207,0.126225216,8.39413555,0.988986426,0.323388966,0.99995045,-5.222011388
KIF19,2902,-0.121090347,6.674790724,-0.988974708,0.323394691,0.99995045,-5.222021576
LOC101927635,11192,0.041181649,6.869270603,0.988698737,0.323529533,0.99995045,-5.22226148
GH2,13084,-0.026894083,6.801450517,-0.988686604,0.323535462,0.99995045,-5.222272025
SERPINA7,1776,-0.021202006,6.509373438,-0.988672541,0.323542335,0.99995045,-5.222284249
LAMA1,13903,-0.036967056,6.657794022,-0.988667978,0.323544564,0.99995045,-5.222288214
RNU2-24P,6922,0.035300522,7.198841572,0.988612526,0.323571664,0.99995045,-5.22233641
RAB32,2352,0.02673768,6.693910191,0.988577233,0.323588913,0.99995045,-5.222367083
ST6GAL2,19882,0.076384378,10.64764471,0.988537696,0.323608236,0.99995045,-5.222401443
CA1,22392,-0.067245677,6.408989338,-0.988416185,0.323667629,0.99995045,-5.222507035
GBP1,22118,-0.240788773,7.57067291,-0.988351824,0.32369909,0.99995045,-5.222562959
UPK2,6150,-0.254536687,7.661484903,-0.988334756,0.323707434,0.99995045,-5.222577789
ASB7,20042,0.026271739,6.659053837,0.98829953,0.323724654,0.99995045,-5.222608395
LOC107986124,24054,0.169335757,11.03842075,0.988278573,0.323734899,0.99995045,-5.222626603
PRSS23,19543,0.069202319,7.194906982,0.988188654,0.323778861,0.99995045,-5.222704723
ZNF492,17547,0.178114028,7.346941903,0.988102164,0.323821149,0.99995045,-5.222779857
NOP58,12326,0.179407289,7.41497299,0.988072786,0.323835515,0.99995045,-5.222805377
