probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
10457_at,1.119846269,9.597718968,4.214393028,5.31722E-05,8.49593E-05,1.260696419,GPNMB
9021_at,-1.119564927,7.257879672,-5.129861175,1.33568E-06,2.69055E-06,4.790824162,SOCS3
9188_at,1.119463833,9.535540414,7.066020853,1.81853E-10,8.64434E-10,13.44409149,DDX21
57763_at,1.119366258,8.641316506,5.416930022,3.87971E-07,8.5758E-07,5.984732765,ANKRA2
7357_at,1.119303351,8.118279701,5.735463415,9.4634E-08,2.34598E-07,7.351317959,UGCG
80352_at,-1.119290979,7.005923866,-7.382335902,3.8457E-11,2.2373E-10,14.96342863,RNF39
100506710_at,1.119255041,8.104303095,6.509126647,2.65157E-09,9.15006E-09,10.82820698,EBLN3P
51375_at,1.118806482,8.806411823,6.87552067,4.58723E-10,1.94504E-09,12.54014804,SNX7
64426_at,1.11874285,7.842772915,5.521373966,2.45344E-07,5.62117E-07,6.428172069,SUDS3
254170_at,1.118599639,7.582527624,9.143662607,5.13033E-15,1.55458E-13,23.71076109,FBXO33
11007_at,-1.118553614,8.724688314,-5.529149535,2.37074E-07,5.44725E-07,6.461370405,CCDC85B
57696_at,1.118448722,5.960330687,7.964385818,2.10261E-12,1.94799E-11,17.8094895,DDX55
50640_at,1.118273482,8.238738856,5.874421471,5.05308E-08,1.31873E-07,7.960208447,PNPLA8
64651_at,-1.118251246,8.331046478,-4.618113079,1.10323E-05,1.93996E-05,2.76156395,CSRNP1
159090_at,1.117712865,7.869056794,7.208916567,9.03666E-11,4.68744E-10,14.12775653,PABIR2
84061_at,1.11760531,9.368612945,7.223922875,8.3947E-11,4.41368E-10,14.19981657,MAGT1
4924_at,-1.117290626,8.95460467,-9.587803751,5.1941E-16,2.49756E-14,25.95940706,NUCB1
11260_at,1.117274095,8.641425644,7.42435366,3.1239E-11,1.87709E-10,15.16683339,XPOT
9474_at,1.117191847,7.563918724,7.972888329,2.01444E-12,1.88591E-11,17.85147478,ATG5
892_at,1.117009843,9.61864506,8.275531151,4.35744E-13,5.38671E-12,19.35235351,CCNC
29089_at,1.117004884,7.557900872,4.232195241,4.9702E-05,7.96631E-05,1.324871777,UBE2T
950_at,1.116911522,8.432751919,5.544031272,2.22E-07,5.14068E-07,6.524979741,SCARB2
340061_at,-1.116658327,8.474365679,-8.504511128,1.3587E-13,2.10686E-12,20.49530876,STING1
58986_at,-1.116359002,8.919617539,-6.963969845,2.98836E-10,1.33625E-09,12.95874622,PGAP6
55276_at,1.116065512,7.125480969,8.492682021,1.4432E-13,2.20945E-12,20.43612604,PGM2
58533_at,1.11559979,9.445647506,7.429766124,3.04128E-11,1.83552E-10,15.19306013,SNX6
1365_at,-1.1155603,10.4853218,-5.129979796,1.33501E-06,2.68946E-06,4.791309658,CLDN3
9026_at,-1.115356143,7.360534846,-9.864618449,1.24275E-16,8.23836E-15,27.36388573,HIP1R
5876_at,1.115264423,7.788024218,7.607478077,1.25781E-11,8.66344E-11,16.05728594,RABGGTB
7514_at,1.115066745,10.12987342,6.096672224,1.82668E-08,5.21573E-08,8.94896182,XPO1
10745_at,1.11505393,6.322423975,10.44453203,6.20368E-18,8.58623E-16,30.30755194,PHTF1
3320_at,1.114735288,11.79356083,5.488588493,2.83436E-07,6.41181E-07,6.28847274,HSP90AA1
840_at,1.114526706,7.254046308,8.781966773,3.28856E-14,6.83365E-13,21.88722978,CASP7
60682_at,1.11439721,8.978626571,7.373576849,4.01584E-11,2.32177E-10,14.92107117,SMAP1
79980_at,1.114279013,5.682777018,8.392538335,2.40386E-13,3.34742E-12,19.9356762,DSN1
12_at,-1.114205462,8.729789104,-3.762292964,0.000277624,0.000408356,-0.302704497,SERPINA3
55619_at,1.114041975,5.193520953,5.319031856,5.93744E-07,1.26743E-06,5.573389287,DOCK10
51495_at,1.113822123,9.199920626,6.199956754,1.13212E-08,3.38201E-08,9.41436122,HACD3
84144_at,1.113745301,4.400006008,6.98367878,2.71552E-10,1.22954E-09,13.05228508,SYDE2
10142_at,1.113524958,8.279020956,6.490984381,2.88954E-09,9.89291E-09,10.7444254,AKAP9
6742_at,1.113462404,10.0848303,7.598693596,1.31409E-11,8.98462E-11,16.01442919,SSBP1
55656_at,1.113446156,8.773202045,7.590004937,1.37222E-11,9.29516E-11,15.97205356,INTS8
90843_at,1.113416248,8.2294727,6.388492419,4.68737E-09,1.5277E-08,10.27297926,TCEAL8
140467_at,-1.113313743,7.662277661,-10.09236949,3.829E-17,3.41014E-15,28.52009853,ZNF358
9367_at,1.11304449,8.517719749,5.532042315,2.34067E-07,5.38784E-07,6.473727812,RAB9A
9448_at,1.112834558,7.493257778,7.555888198,1.62621E-11,1.07526E-10,15.80579462,MAP4K4
10276_at,1.112669916,8.193198091,5.539295188,2.26692E-07,5.2375E-07,6.504726134,NET1
5111_at,1.112531323,9.977719233,4.929199286,3.10217E-06,5.91445E-06,3.979291306,PCNA
23741_at,1.112464501,8.643457172,7.332426536,4.92062E-11,2.76983E-10,14.7222829,EID1
26054_at,1.112287744,6.112467769,7.77597544,5.41897E-12,4.2432E-11,16.88192853,SENP6
140101_at,-1.111943576,7.783956653,-7.897947411,2.93764E-12,2.55519E-11,17.48178515,RBMY2MP
28957_at,1.111875491,8.664416305,7.71731352,7.26873E-12,5.4281E-11,16.59428338,MRPS28
100505687_at,1.111661292,6.941234704,10.26148125,1.59751E-17,1.76883E-15,29.37860716,LINC00888
51186_at,1.111543323,10.42444353,7.236646898,7.88595E-11,4.17837E-10,14.26095544,TCEAL9
10479_at,1.111113742,7.304077454,7.926930385,2.53906E-12,2.2692E-11,17.62466143,SLC9A6
7580_at,1.110835125,8.216874411,9.239228307,3.13632E-15,1.05665E-13,24.19388889,ZNF32
51141_at,1.110404479,7.007089087,7.312906352,5.41788E-11,3.00514E-10,14.62810668,INSIG2
11244_at,1.110129047,7.518143211,7.674864592,8.98675E-12,6.50246E-11,16.38649813,ZHX1
4848_at,1.109903267,8.728647736,7.846036978,3.81319E-12,3.15594E-11,17.22620454,CNOT2
79841_at,1.109830846,5.329927156,6.109209231,1.72394E-08,4.94789E-08,9.005259257,AGBL2
27239_at,-1.109592913,7.100754864,-8.573262133,9.56588E-14,1.58919E-12,20.83955493,GPR162
116228_at,1.109270055,8.675413604,7.182819081,1.02711E-10,5.25396E-10,14.00255435,COX20
57685_at,1.109266596,7.646714052,5.564710808,2.02602E-07,4.72784E-07,6.613524253,CACHD1
1553_at,-1.109175518,6.746402668,-9.52181924,7.30242E-16,3.2788E-14,25.62487362,CYP2A13
56901_at,-1.109040398,5.945382338,-6.960110875,3.04487E-10,1.35737E-09,12.94044261,NDUFA4L2
51290_at,1.109030746,6.426294244,10.97845617,3.94164E-19,1.10603E-16,33.01405163,ERGIC2
2531_at,1.108426152,6.595572977,8.031387941,1.49976E-12,1.4699E-11,18.14062667,KDSR
1434_at,1.108270481,9.015439819,6.83488681,5.58191E-10,2.3113E-09,12.3485053,CSE1L
116151_at,1.108074963,8.311120738,10.94148649,4.76966E-19,1.25259E-16,32.82682574,FAM210B
146433_at,-1.108010867,7.358933935,-9.150098768,4.96315E-15,1.51739E-13,23.74328383,IL34
10947_at,1.107977242,7.546731436,9.219926126,3.4642E-15,1.14453E-13,24.09627037,AP3M2
24142_at,-1.10793184,7.334661952,-9.722468308,2.5907E-16,1.49458E-14,26.64247941,NAA80
55173_at,1.107883521,8.001882581,9.417437448,1.25143E-15,5.03267E-14,25.095948,MRPS10
7122_at,-1.107879777,7.918285598,-5.910976418,4.27935E-08,1.13312E-07,8.121601318,CLDN5
23467_at,-1.107554603,6.755797052,-5.908446271,4.32893E-08,1.14418E-07,8.110414537,NPTXR
51382_at,1.107216154,9.185072909,7.05149458,1.95204E-10,9.17736E-10,13.37485461,ATP6V1D
5178_at,1.107065213,7.917246181,5.650047386,1.38682E-07,3.33737E-07,6.980778151,PEG3
51367_at,1.106955147,8.913383468,7.740301426,6.47898E-12,4.9176E-11,16.70693514,POP5
51118_at,1.106892702,8.716988149,7.582325789,1.42571E-11,9.58147E-11,15.93461279,UTP11
84933_at,1.106654954,8.341132333,8.717119678,4.58411E-14,8.84188E-13,21.56130075,C8orf76
53339_at,1.106386791,10.16852706,7.314870115,5.36568E-11,2.98508E-10,14.63757739,BTBD1
5713_at,1.10617379,9.585841736,7.313922575,5.39081E-11,2.9958E-10,14.63300756,PSMD7
26065_at,1.106141341,9.055359046,7.311828541,5.44675E-11,3.01952E-10,14.62290903,LSM14A
2665_at,1.106045507,10.89013687,5.437087804,3.55251E-07,7.90597E-07,6.069952317,GDI2
25940_at,1.105845525,8.938061261,7.139032589,1.27285E-10,6.33763E-10,13.79282925,FAM98A
79647_at,1.105823762,7.401159035,8.751290837,3.84823E-14,7.75857E-13,21.73300593,AKIRIN1
11342_at,1.105762233,8.70464217,6.020689457,2.59149E-08,7.16093E-08,8.608934537,RNF13
7267_at,1.105670449,9.286145405,5.987857665,3.01246E-08,8.22652E-08,8.462642696,TTC3
5422_at,1.105250796,7.227174207,6.846135563,5.28695E-10,2.20163E-09,12.40151566,POLA1
6398_at,-1.105249356,7.524988547,-6.667794985,1.24565E-09,4.68097E-09,11.5650211,SECTM1
91419_at,1.105209561,6.311166465,6.576725773,1.92344E-09,6.87724E-09,11.14123483,ATP23
7072_at,1.104942286,7.892672988,6.298135117,7.16228E-09,2.24125E-08,9.860052122,TIA1
219681_at,1.10467788,6.582614066,6.09098885,1.87521E-08,5.34315E-08,8.923458539,ARMC3
6928_at,-1.104592162,8.99392899,-4.980423794,2.50613E-06,4.83705E-06,4.184580339,HNF1B
79573_at,1.104236602,6.231234248,7.70429362,7.75772E-12,5.72646E-11,16.53051906,TTC13
84938_at,1.104171151,6.960566221,8.457352835,1.72801E-13,2.55202E-12,20.25945432,ATG4C
92714_at,-1.104125463,8.550655627,-6.62518797,1.52683E-09,5.61099E-09,11.36645925,ARRDC1
22950_at,1.103993367,8.125695893,8.241220393,5.18628E-13,6.19812E-12,19.18160575,SLC4A1AP
23152_at,-1.103756907,9.142990625,-10.68540942,1.78856E-18,3.36119E-16,31.52895937,CIC
84947_at,1.103695125,6.186113641,7.992718532,1.82281E-12,1.73264E-11,17.94943674,SERAC1
5685_at,1.103528804,9.820024196,7.933360803,2.45819E-12,2.21043E-11,17.6563783,PSMA4
51701_at,1.103345237,6.376113024,8.007673422,1.69039E-12,1.63099E-11,18.0233518,NLK
115098_at,-1.102751415,8.512798852,-6.371597338,5.07501E-09,1.6415E-08,10.19557443,CCDC124
727800_at,-1.102732979,6.028528679,-8.807428613,2.88622E-14,6.21023E-13,22.01529675,RNF208
102157402_at,1.102593796,8.262616439,6.861353198,4.91233E-10,2.06578E-09,12.47328147,AK6
253558_at,1.102413833,8.626601468,6.329097198,6.19553E-09,1.96698E-08,10.0012558,LCLAT1
1519_at,1.102372787,8.159517374,6.162053933,1.34993E-08,3.96273E-08,9.243150989,CTSO
150223_at,-1.102345786,8.437836409,-5.77327306,7.98369E-08,2.00537E-07,7.516257573,YDJC
23396_at,-1.102299668,9.067218211,-9.800231407,1.73342E-16,1.05992E-14,27.03708778,PIP5K1C
55652_at,-1.102245178,7.486123601,-9.050110262,8.30178E-15,2.28567E-13,23.23829302,SLC48A1
65062_at,1.102122493,6.008318829,10.81638702,9.09056E-19,2.06901E-16,32.19350975,TMEM237
175_at,1.101899482,6.976445295,7.244940356,7.57093E-11,4.02917E-10,14.30082429,AGA
84870_at,1.101847903,6.139556892,4.366644824,2.96862E-05,4.91189E-05,1.81565055,RSPO3
6431_at,1.101564679,10.20566905,5.520998926,2.4575E-07,5.62893E-07,6.426571453,SRSF6
1027_at,1.101479207,9.084847985,6.819156872,6.02186E-10,2.46852E-09,12.27443209,CDKN1B
63979_at,1.101378093,6.466632387,7.112745813,1.4475E-10,7.09686E-10,13.66713052,FIGNL1
9360_at,1.101332423,8.047828808,8.9960207,1.09629E-14,2.85343E-13,22.96536319,PPIG
57405_at,1.101322446,5.438305743,4.08826777,8.53348E-05,0.000133201,0.811556923,SPC25
126353_at,-1.101171625,8.147227683,-8.175810986,7.22541E-13,8.08755E-12,18.85649632,MISP
90333_at,1.100702161,6.913130966,6.6336875,1.46614E-09,5.40637E-09,11.40602899,ZNF468
53981_at,1.100673143,6.392654644,9.634279311,4.08574E-16,2.11344E-14,26.19510268,CPSF2
8669_at,1.100196018,7.380212764,7.460116069,2.61665E-11,1.61493E-10,15.34023047,EIF3J
55679_at,-1.100172953,7.482505661,-9.628633377,4.20663E-16,2.14884E-14,26.1664671,LIMS2
360_at,-1.100164367,8.553110846,-3.192886713,0.001859518,0.002518538,-2.075695901,AQP3
121227_at,1.100092564,6.212632929,4.789389079,5.51867E-06,1.01376E-05,3.425745716,LRIG3
2060_at,1.099638288,8.485104237,5.299665245,6.45583E-07,1.37094E-06,5.49252051,EPS15
9861_at,1.099392244,9.705241666,7.157042072,1.16542E-10,5.87555E-10,13.87903769,PSMD6
51537_at,-1.099270863,8.537478188,-5.462905803,3.17266E-07,7.11972E-07,6.17935747,MTFP1
1762_at,-1.099160401,7.933730092,-10.4211326,7.00082E-18,9.37286E-16,30.18883351,DMWD
83743_at,-1.099047391,8.680456881,-8.345750807,3.04986E-13,4.08056E-12,19.70223618,GRWD1
55041_at,1.099026054,8.489901171,8.686343326,5.36617E-14,9.9837E-13,21.4067384,PLEKHB2
9111_at,1.09871395,8.271424717,7.517825354,1.96498E-11,1.25744E-10,15.62055813,NMI
10398_at,-1.098613127,7.088591492,-6.670687233,1.22854E-09,4.62344E-09,11.57851825,MYL9
28951_at,1.098553474,8.232276287,4.409399083,2.51471E-05,4.19917E-05,1.97393803,TRIB2
64756_at,1.098218967,8.309218886,10.16529465,2.62643E-17,2.59902E-15,28.89032803,ATPAF1
51330_at,-1.098178084,8.667644463,-4.298564978,3.85856E-05,6.27441E-05,1.565802552,TNFRSF12A
25789_at,-1.09814773,7.134350531,-8.582589866,9.12083E-14,1.52765E-12,20.88629555,TMEM59L
63935_at,-1.098098136,7.899882262,-10.14026866,2.98916E-17,2.88331E-15,28.76327713,PCIF1
6939_at,-1.097867625,6.047607207,-7.940586957,2.37037E-12,2.15192E-11,17.69202732,TCF15
7127_at,-1.09785685,7.622107361,-5.721362535,1.00816E-07,2.48658E-07,7.289947986,TNFAIP2
4677_at,1.097714734,10.4857976,7.37455269,3.99652E-11,2.31387E-10,14.92578943,NARS1
54521_at,1.097702865,7.273946779,7.641742046,1.06026E-11,7.4788E-11,16.22458053,WDR44
18_at,1.097655112,6.579207413,3.823135869,0.000223835,0.00033261,-0.099974823,ABAT
6428_at,1.097634267,7.870487529,7.152835948,1.18967E-10,5.98459E-10,13.85889714,SRSF3
389119_at,-1.097553583,7.155202323,-8.142642149,8.54679E-13,9.28766E-12,18.69184178,INKA1
360023_at,1.097414546,7.702994844,6.790501848,6.91327E-10,2.79092E-09,12.13965999,ZBTB41
162967_at,1.097265022,7.617217259,6.890207316,4.2727E-10,1.83024E-09,12.60951889,ZNF320
