Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
OR51E1,7171,9.51659111,9.40587946,62.60349844,4.63E-186,6.01E-186,415.6263212
ANAPC16,8249,7.989219608,8.004171251,62.59320776,4.87E-186,6.32E-186,415.575878
PSMB8,4963,9.470632663,9.5136978,62.59088533,4.92E-186,6.39E-186,415.5644928
NCEH1,15162,12.42802069,12.24007807,62.57353591,5.36E-186,6.96E-186,415.4794301
LOC107984208,23974,7.657125263,7.904659874,62.57126753,5.42E-186,7.04E-186,415.468307
CCDC168,20262,7.461834141,7.48972512,62.55893753,5.76E-186,7.48E-186,415.4078401
BVES,6539,9.663052024,9.707003838,62.55879256,5.76E-186,7.48E-186,415.4071291
PSMD12,8195,9.324194851,9.443403407,62.55737922,5.80E-186,7.53E-186,415.4001973
GPR37,8599,10.01214127,9.982502876,62.55466692,5.88E-186,7.63E-186,415.3868944
LINC01948,16553,7.065351478,6.986453727,62.55405541,5.90E-186,7.65E-186,415.3838952
ZFYVE1,2199,8.833778224,8.742269902,62.549637,6.03E-186,7.82E-186,415.3622232
GNPTG,1048,7.307847341,7.315539406,62.54531867,6.16E-186,7.99E-186,415.3410408
GYPC,14686,10.47229418,10.3908716,62.53759627,6.39E-186,8.30E-186,415.3031577
LOC105371084,27897,8.711226655,8.694940017,62.52249244,6.88E-186,8.93E-186,415.2290526
MUC5B,14837,6.948697026,6.851884977,62.51927041,6.99E-186,9.08E-186,415.2132422
ZNF763,6283,8.810432662,8.723792497,62.51135457,7.27E-186,9.43E-186,415.1743963
ATRIP,6969,9.862747818,9.916789711,62.50847048,7.37E-186,9.57E-186,415.1602421
SPAM1,20528,10.82093409,10.87381046,62.49386035,7.92E-186,1.03E-185,415.0885313
LOC101928409,3580,9.190334539,9.346672963,62.48200424,8.40E-186,1.09E-185,415.0303276
GRM7,20694,8.695239999,8.59859663,62.47557365,8.66E-186,1.12E-185,414.9987548
ZNF546,16653,6.520135278,6.61179063,62.47462829,8.70E-186,1.13E-185,414.994113
UQCRFS1,1402,6.71368173,6.875407857,62.47297752,8.78E-186,1.14E-185,414.9860076
C1orf87,1683,6.804047401,6.914906231,62.47174214,8.83E-186,1.15E-185,414.9799416
DNPH1,27774,7.232613833,7.150165073,62.46883934,8.96E-186,1.16E-185,414.9656878
NLRP8,26505,9.347110312,9.361482971,62.46771118,9.01E-186,1.17E-185,414.960148
CACNB2,5594,7.851519699,7.74892975,62.46594917,9.08E-186,1.18E-185,414.9514956
PLD2,4925,7.394810177,7.274872242,62.45745736,9.47E-186,1.23E-185,414.909793
BHLHE22,12670,6.926193613,6.978529675,62.45501938,9.58E-186,1.24E-185,414.8978194
PPEF1,10897,9.162652615,9.183212827,62.45103809,9.77E-186,1.27E-185,414.8782653
PRSS27,5151,9.013272418,9.22224256,62.45072622,9.79E-186,1.27E-185,414.8767335
ZNF528,8475,8.763135662,8.793096922,62.44610833,1.00E-185,1.30E-185,414.8540513
BTG3,8118,7.8333019,7.987441949,62.44207847,1.02E-185,1.32E-185,414.8342563
ZNF287,17070,7.523924038,7.656601036,62.43847725,1.04E-185,1.35E-185,414.8165658
AKR1C3,11344,7.584045934,7.552007356,62.4287169,1.09E-185,1.41E-185,414.7686153
ZBED5,26540,8.293140165,8.17188051,62.41434686,1.17E-185,1.52E-185,414.6980068
NKD2,14370,9.731236397,9.765514573,62.41165164,1.19E-185,1.54E-185,414.6847621
VPS53,4139,8.532854782,8.246811419,62.40577848,1.22E-185,1.58E-185,414.6558988
OR2AG1,5144,6.996799554,6.949781601,62.39604863,1.28E-185,1.66E-185,414.6080769
PCDHGA6,17559,7.886576356,7.783960818,62.38922848,1.32E-185,1.72E-185,414.5745523
LIPG,3895,7.002426786,7.05011982,62.38556341,1.35E-185,1.75E-185,414.5565353
ASPHD1,9571,11.46387222,11.33912885,62.38548488,1.35E-185,1.75E-185,414.5561493
SGPP2,10793,7.518204957,7.650915836,62.37509226,1.42E-185,1.84E-185,414.5050556
FGD2,19096,7.68259512,7.686498605,62.37230018,1.44E-185,1.86E-185,414.4913276
NCSTN,7524,8.660161321,8.583350531,62.36804791,1.47E-185,1.90E-185,414.4704191
YBEY,24980,8.112641714,7.952146598,62.36694605,1.48E-185,1.91E-185,414.465001
LOC100129917,5229,10.11538677,9.987004978,62.36618268,1.48E-185,1.92E-185,414.4612474
GAD2,27261,8.057577973,8.095951905,62.36536967,1.49E-185,1.93E-185,414.4572496
CCHCR1,12607,8.631759444,8.508310443,62.35944327,1.53E-185,1.99E-185,414.4281063
GAK,26354,10.60593627,10.45794421,62.34548925,1.64E-185,2.13E-185,414.3594777
DPP6,27111,9.465441808,9.482341939,62.33400947,1.74E-185,2.25E-185,414.3030081
HMBS,23160,7.050355125,7.082412027,62.33378696,1.74E-185,2.25E-185,414.3019135
LOC285422,23145,11.50568342,11.34343558,62.33034551,1.77E-185,2.29E-185,414.2849831
MUC6,17985,7.252217665,7.306687092,62.32890615,1.78E-185,2.31E-185,414.2779019
VEGFC,20489,13.70941729,13.65787409,62.3286484,1.78E-185,2.31E-185,414.2766338
CHST15,8111,6.979580804,6.997844911,62.32208893,1.84E-185,2.38E-185,414.2443612
XCL1,12188,10.08155262,10.04573347,62.32107827,1.85E-185,2.40E-185,414.2393885
ZNF551,5449,8.843676546,8.902498492,62.31127065,1.94E-185,2.51E-185,414.191129
IQCA1,15522,8.471961421,8.634465772,62.30847919,1.97E-185,2.55E-185,414.1773921
TRIP12,7586,6.898122504,6.8221146,62.30438765,2.01E-185,2.60E-185,414.1572565
HMGN2P6,25449,9.314082681,9.345658514,62.29430206,2.11E-185,2.73E-185,414.1076178
ILRUN,23975,7.700400181,7.834324094,62.28691819,2.19E-185,2.83E-185,414.0712721
RAB36,19800,6.577804667,6.635560487,62.28664335,2.19E-185,2.84E-185,414.0699191
HELB,11262,10.70746629,10.80450857,62.27621082,2.31E-185,2.99E-185,414.0185604
SOX8,6844,10.97935098,11.1256394,62.27195626,2.36E-185,3.05E-185,413.9976134
RN7SKP130,13006,6.673869727,6.506306633,62.25963821,2.50E-185,3.24E-185,413.9369595
ZNF419,5708,7.417691327,7.28307122,62.25830441,2.52E-185,3.26E-185,413.9303913
ZNF407,3375,8.610682804,8.525923637,62.25767501,2.53E-185,3.27E-185,413.9272918
DCUN1D2,19507,7.094294939,7.034799194,62.25719365,2.53E-185,3.28E-185,413.9249214
FLJ42969,27747,7.431264619,7.57730928,62.25544632,2.55E-185,3.31E-185,413.9163164
