Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
MCMDC2,22801,-19.73801794,6.563765045,-278.5944388,0,0,894.2101855
PSORS1C2,11935,-20.60323522,6.852434114,-278.5817202,0,0,894.1956351
RPS2P47,14795,-32.31472319,10.83040173,-278.5779,0,0,894.1912646
ASB11,25596,-30.7117919,10.21745992,-278.5646576,0,0,894.176114
ZNF840P,7819,-20.02397345,6.611600741,-278.5486757,0,0,894.1578282
C17orf97,22537,-19.4721221,6.496444737,-278.5100445,0,0,894.1136233
MROH3P,27840,-27.58215866,9.199784769,-278.4723301,0,0,894.0704612
LINC01808,19545,-20.24183471,6.76326609,-278.4646487,0,0,894.0616694
PIN1,14545,-26.13823802,8.677436478,-278.4446018,0,0,894.0387235
RNU6ATAC25P,18403,-30.90804732,10.26742776,-278.4428881,0,0,894.036762
TFAP2E,6072,-36.45032168,12.1987686,-278.4080858,0,0,893.9969225
SLC25A30,16157,-27.90985469,9.304265587,-278.4017994,0,0,893.9897256
SNX31,8586,-19.89424164,6.623304172,-278.3923065,0,0,893.9788576
OLFML2A,22508,-25.67700595,8.530210565,-278.3313104,0,0,893.909016
HOXD8,8615,-34.20324649,11.40708833,-278.3304983,0,0,893.908086
CALB1,2815,-32.62966868,10.91265871,-278.3254368,0,0,893.9022898
CEP70,24512,-28.64851608,9.5067103,-278.3235073,0,0,893.9000801
ADGRA1,9421,-22.05106004,7.342269133,-278.3108683,0,0,893.8856058
SIGLEC14,23797,-36.24522614,12.09690553,-278.3100998,0,0,893.8847256
SPINK9,3338,-36.91958451,12.32974769,-278.2583576,0,0,893.8254622
UPK3B,1288,-20.67572025,6.898464855,-278.2515384,0,0,893.8176509
CBLN4,25164,-20.40700745,6.809967234,-278.2264032,0,0,893.788857
MAMSTR,24348,-31.49794372,10.48507106,-278.2189658,0,0,893.7803365
LINC00709,6091,-20.54291446,6.844770603,-278.1873824,0,0,893.7441508
ZNF76,4494,-21.5405454,7.205940432,-278.1743359,0,0,893.729202
TP53I3,16384,-23.42456636,7.839154946,-278.1669175,0,0,893.7207015
C3orf35,23555,-25.91672356,8.656657261,-278.1337351,0,0,893.6826761
SFI1,7563,-22.02085978,7.337569383,-278.0576787,0,0,893.5955009
MIR4697HG,11535,-28.09649984,9.38886671,-278.0571923,0,0,893.5949434
NSL1,20469,-23.01707196,7.689993671,-278.0431181,0,0,893.5788088
MYL12B,25321,-27.32970746,9.126054978,-278.0101994,0,0,893.5410676
MLLT6,22009,-20.57407911,6.856630042,-277.9629326,0,0,893.486868
CACNA2D4,9022,-20.10816931,6.721751072,-277.9230725,0,0,893.4411538
AXL,15752,-26.50700459,8.864636642,-277.9196044,0,0,893.4371761
KCND1,10518,-22.13788338,7.348759263,-277.900363,0,0,893.4151059
MAGEA6,24263,-27.640738,9.184299855,-277.8873509,0,0,893.40018
MFSD14B,18109,-19.35098952,6.459474633,-277.8853846,0,0,893.3979245
TIGD7,627,-32.05035864,10.68088529,-277.8744111,0,0,893.3853363
AIDA,26697,-33.94796839,11.34059025,-277.8737378,0,0,893.3845639
APLF,25540,-29.48882083,9.801461236,-277.839648,0,0,893.3454544
CDO1,8307,-23.83521297,7.980705573,-277.7527982,0,0,893.245793
UCHL1,26518,-36.0697434,12.03208113,-277.7246315,0,0,893.213464
CACNG8,25192,-29.9965763,10.03927972,-277.7246036,0,0,893.213432
MAX,28054,-26.20065658,8.719422626,-277.6714157,0,0,893.1523751
TMEM232,21174,-20.93708606,6.990414687,-277.6249194,0,0,893.0989894
ST6GAL2,6622,-24.75192234,8.266500114,-277.6064176,0,0,893.0777435
