probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
79654_at,-1.154947599,8.754587622,-10.36666251,9.2763E-18,3.06477E-16,29.89555789,HECTD3
10804_at,1.154832931,6.378926758,3.32876865,0.001204045,0.001745605,-1.792727674,GJB6
8803_at,1.154775013,8.55579828,6.088240566,1.89914E-08,4.98551E-08,8.819769808,SUCLA2
51575_at,1.154423096,6.615246512,9.846352617,1.36579E-16,2.97627E-15,27.24321512,ESF1
100113407_at,1.15435999,5.032203293,9.362524242,1.66118E-15,2.49817E-14,24.78008871,TMEM170B
80352_at,-1.154125084,7.005923866,-9.014019097,9.99433E-15,1.1632E-13,23.01163976,RNF39
58499_at,1.153886531,7.522820668,9.359992607,1.68301E-15,2.51824E-14,24.76722039,ZNF462
2690_at,1.153380121,6.469710336,8.386276245,2.4817E-13,1.86551E-12,19.84834821,GHR
56906_at,1.152901669,6.876657911,9.945865599,8.16576E-17,1.92261E-15,27.75043744,THAP10
55259_at,1.152280844,4.8792853,6.694610413,1.09562E-09,3.58451E-09,11.60712795,DNAI7
1894_at,1.15207049,6.311949749,5.980421311,3.11678E-08,7.9211E-08,8.336817058,ECT2
56963_at,-1.151970146,8.818488391,-7.367566032,4.1369E-11,1.80145E-10,14.81893863,RGMA
89887_at,-1.151629525,6.495201543,-7.784717987,5.18667E-12,2.76604E-11,16.85847362,ZNF628
81611_at,1.150575409,7.900653119,7.803030238,4.73169E-12,2.54193E-11,16.94871081,ANP32E
84319_at,1.150360512,8.669791207,9.086854848,6.87221E-15,8.39418E-14,23.38067588,CMSS1
254170_at,1.15021416,7.582527624,11.13368739,1.77568E-19,1.23264E-17,33.79749073,FBXO33
80155_at,1.149966482,6.872222928,11.22440326,1.11379E-19,8.42911E-18,34.25755293,NAA15
22904_at,-1.149648284,7.348100654,-7.864623363,3.47332E-12,1.92083E-11,17.25261981,SBNO2
9021_at,-1.149224986,7.257879672,-6.235570339,9.59212E-09,2.66024E-08,9.486238174,SOCS3
200575_at,-1.14871511,6.521598324,-11.59151808,1.6941E-20,1.94955E-18,36.11498686,CRYGEP
29127_at,1.14844555,9.399010704,5.443006318,3.46169E-07,7.56284E-07,5.995728041,RACGAP1
7358_at,1.148270507,9.4922553,8.758318028,3.71217E-14,3.61923E-13,21.71900504,UGDH
51043_at,-1.147899155,7.130198508,-12.5301065,1.43041E-22,4.3763E-20,40.82276589,ZBTB7B
10285_at,1.147882594,9.103059678,10.63382723,2.33411E-18,9.6201E-17,31.25654519,SMNDC1
23300_at,1.147288186,8.182801757,8.443613547,1.85332E-13,1.44954E-12,20.13573393,ATMIN
64850_at,1.14726319,4.266027855,5.316269557,6.00881E-07,1.27088E-06,5.461113328,ETNPPL
57534_at,1.14703164,7.832025432,8.737087682,4.13859E-14,3.97258E-13,21.61190914,MIB1
29922_at,1.146853563,8.167892385,8.431871544,1.96757E-13,1.5255E-12,20.07685141,NME7
7571_at,1.146760404,5.978618924,7.197712445,9.54749E-11,3.84528E-10,13.99828751,ZNF23
90332_at,-1.146391266,7.918819461,-11.09014505,2.22153E-19,1.46793E-17,33.57653276,EXOC3L2
10693_at,1.146229893,5.795726142,9.110837824,6.07449E-15,7.50934E-14,23.50226148,CCT6B
151306_at,-1.145965769,7.138722026,-6.798845528,6.64104E-10,2.24963E-09,12.09725387,GPBAR1
7321_at,1.145697079,7.348754045,10.00362462,6.05795E-17,1.5005E-15,28.04487899,UBE2D1
8805_at,1.145553683,6.679354735,11.00074183,3.51979E-19,2.11932E-17,33.12259438,TRIM24
114224_at,-1.144839129,7.606092418,-5.70867556,1.06715E-07,2.50884E-07,7.138673898,LOC114224
23322_at,1.143427249,4.653477688,11.15840318,1.56372E-19,1.10835E-17,33.92287419,RPGRIP1L
147991_at,1.143291553,8.42018318,7.153697276,1.18466E-10,4.66846E-10,13.78665168,DPY19L3
8697_at,1.143249558,7.598784987,8.75473053,3.78102E-14,3.66716E-13,21.70090535,CDC23
1062_at,1.142828116,6.099698646,5.922476051,4.06097E-08,1.01544E-07,8.078997234,CENPE
2202_at,1.142230583,7.757188382,4.760970874,6.19704E-06,1.15274E-05,3.207771562,EFEMP1
9200_at,1.142179441,7.387709566,5.576164296,1.92584E-07,4.35466E-07,6.564925032,HACD1
2108_at,1.140460357,8.918064041,8.207367951,6.15763E-13,4.12334E-12,18.95406729,ETFA
