Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
PPIL4,9257,0.009286131,6.451901145,0.826883655,0.408896045,0.997655044,-5.719781596
TMEM192,11495,-0.052045398,7.57660195,-0.826684578,0.409008741,0.997655044,-5.719937233
STX2,24117,0.031610556,11.48727178,0.826677623,0.409012678,0.997655044,-5.719942669
FAM222A,1990,-0.136234196,7.820096657,-0.826568764,0.40907431,0.997655044,-5.720027757
NTRK3,13781,0.027674602,7.284326023,0.826567814,0.409074848,0.997655044,-5.7200285
LCE6A,10669,0.025143349,7.742599502,0.826530335,0.409096068,0.997655044,-5.720057792
GNL3,26511,-0.028153093,9.585004455,-0.826526404,0.409098294,0.997655044,-5.720060864
HSPA1B,7697,0.02496824,7.73012152,0.826500379,0.40911303,0.997655044,-5.720081204
C11orf49,11413,-0.142586854,7.903757897,-0.826454064,0.409139255,0.997655044,-5.720117399
FCER1G,11791,-0.048943821,8.484044078,-0.826420731,0.40915813,0.997655044,-5.720143447
MAZ,14085,0.114049262,7.9076517,0.826410028,0.40916419,0.997655044,-5.720151811
LYRM7,7624,-0.040833603,8.109191136,-0.826212291,0.409276171,0.997655044,-5.720306312
MUC15,14795,-0.043337774,10.83040173,-0.826162049,0.409304626,0.997655044,-5.720345561
EPHA7,22401,-0.017434643,6.68267528,-0.826156521,0.409307758,0.997655044,-5.72034988
PRSS55,15115,0.034642608,6.946591149,0.825992471,0.409400678,0.997655044,-5.720478022
CES2,1710,0.029672782,8.734297279,0.825987026,0.409403763,0.997655044,-5.720482276
PDE6B,462,0.026603524,7.213820225,0.825928977,0.409436646,0.997655044,-5.720527613
MS4A5,10340,-0.031138941,8.223722267,-0.82592078,0.40944129,0.997655044,-5.720534014
KLHL17,24633,0.052509417,8.102867319,0.825862028,0.409474573,0.997655044,-5.720579896
PRMT5,16268,0.01158664,6.462999515,0.825805472,0.409506614,0.997655044,-5.72062406
NUFIP1,14158,-0.137990813,7.09253254,-0.825618104,0.409612775,0.997655044,-5.720770353
LOC105369146,12519,0.01144777,6.4656128,0.825601329,0.40962228,0.997655044,-5.720783449
F11R,4891,-0.103160114,7.428041714,-0.825591275,0.409627977,0.997655044,-5.720791298
TUSC7,9609,0.011450181,6.456672925,0.825527498,0.409664117,0.997655044,-5.720841084
PRKN,10629,0.069769579,11.67358657,0.8254758,0.409693414,0.997655044,-5.720881439
SNX7,18991,-0.051224456,7.628612128,-0.825429948,0.409719399,0.997655044,-5.720917228
PCBD1,9955,-0.008961791,6.292556003,-0.82542453,0.409722469,0.997655044,-5.720921457
ZNF714,6299,-0.010438648,6.618198352,-0.825400511,0.409736082,0.997655044,-5.720940204
PTPRN,4933,0.070770454,11.62808479,0.825364042,0.40975675,0.997655044,-5.720968667
PRMT2,4277,-0.058754204,9.173894987,-0.825362865,0.409757417,0.997655044,-5.720969585
FAM237A,2777,-0.055941411,7.684903431,-0.825326629,0.409777955,0.997655044,-5.720997865
HOMER2,23269,-0.038945063,12.87447106,-0.825268666,0.409810807,0.997655044,-5.721043099
CTTN,21181,-0.078200898,7.896440843,-0.825228371,0.409833646,0.997655044,-5.721074542
ARFGAP3,2799,-0.057074339,9.035414535,-0.825094651,0.409909445,0.997655044,-5.721178879
LRRC25,12351,-0.010783467,6.457413166,-0.824864904,0.410039697,0.997655044,-5.721358102
KLF2,25821,-0.018027524,6.842160566,-0.824740919,0.410109998,0.997655044,-5.7214548
MOSPD3,1315,-0.043718219,8.264715776,-0.824735912,0.410112838,0.997655044,-5.721458705
GAGE12G,9995,0.025247534,6.710642228,0.824717926,0.410123036,0.997655044,-5.721472732
TMEM185B,24186,0.051155404,10.53460435,0.82461809,0.410179651,0.997655044,-5.721550583
RN7SL181P,10046,0.015880996,6.720201781,0.824581369,0.410200476,0.997655044,-5.721579216
BSN,21570,0.010951158,6.590160549,0.824517576,0.410236656,0.997655044,-5.721628955
DMWD,17431,-0.010904213,6.62696045,-0.824429514,0.410286601,0.997655044,-5.721697608
TEX13D,19158,0.010045951,6.472739404,0.824316419,0.410350751,0.997655044,-5.721785768
RBMY1B,5051,0.032648812,7.993057152,0.8242141,0.410408793,0.997655044,-5.721865517
GOSR2,7815,-0.063232708,8.819386003,-0.824129651,0.410456702,0.997655044,-5.721931331
IQCN,25844,0.01023344,6.575490287,0.824091818,0.410478166,0.997655044,-5.721960812
SBK1,10713,0.035313621,8.032353007,0.824017119,0.410520548,0.997655044,-5.72201902
IL7,18547,-0.044628062,8.72886396,-0.823946769,0.410560465,0.997655044,-5.722073833
TMEM167A,20879,0.109766076,7.407284604,0.823942634,0.410562811,0.997655044,-5.722077055
SNRNP70,23944,0.030941096,6.708984856,0.82377074,0.410660354,0.997655044,-5.722210965
RSPO4,12871,0.009987119,6.392757425,0.823697426,0.410701961,0.997655044,-5.72226807
LOC105379362,5870,0.016966311,6.600125794,0.823685002,0.410709012,0.997655044,-5.722277747
DUSP27,26985,0.047458874,12.48191627,0.823662373,0.410721855,0.997655044,-5.722295372
KCNK6,9193,0.018639453,6.989387875,0.823612233,0.410750312,0.997655044,-5.722334423
OSR2,17354,-0.037503392,7.370507405,-0.823595983,0.410759535,0.997655044,-5.722347078
CLCN4,2025,-0.065007705,9.116690966,-0.823440945,0.410847537,0.997655044,-5.722467808
GULP1,17755,0.057367431,12.19763684,0.823383477,0.41088016,0.997655044,-5.722512553
JAKMIP1,21197,-0.035873244,7.141435313,-0.823250491,0.410955658,0.997655044,-5.722616086
RBBP8NL,14594,0.044421763,9.254369759,0.823248943,0.410956537,0.997655044,-5.722617291
RUSC1-AS1,19621,-0.051311405,11.83461737,-0.823217153,0.410974586,0.997655044,-5.722642038
AKT1S1,3261,-0.041278261,7.498109089,-0.823146214,0.411014863,0.997655044,-5.722697256
LOC105374160,11256,-0.010150978,6.310089756,-0.82309428,0.411044351,0.997655044,-5.722737679
PTPN21,3622,0.041355775,10.11365075,0.822998947,0.411098485,0.997655044,-5.722811874
KLHDC9,22913,-0.044524346,6.802389212,-0.822882706,0.411164497,0.997655044,-5.722902329
EIF2S1,9381,0.041717074,8.876757098,0.822828593,0.411195229,0.997655044,-5.722944433
TSEN15,1485,0.125552275,9.53060626,0.822752331,0.411238542,0.997655044,-5.723003767
SPRYD4,13852,0.053106127,11.47066588,0.822610176,0.411319288,0.997655044,-5.723114353
NEBL,17774,0.011676068,6.493124214,0.82251339,0.411374269,0.997655044,-5.723189635
NPAS3,26193,-0.043082735,9.355819085,-0.822461505,0.411403745,0.997655044,-5.723229988
TBC1D24,17744,0.015541126,6.423030742,0.822406138,0.4114352,0.997655044,-5.723273046
DNASE2B,2874,-0.01970606,6.573510207,-0.822351213,0.411466405,0.997655044,-5.723315758
LRRN1,4678,-0.090830993,6.700082983,-0.822281387,0.411506079,0.997655044,-5.723370053
FGF13,9796,0.115881005,9.31071132,0.822259891,0.411518293,0.997655044,-5.723386767
ZRANB3,9735,-0.024582266,6.936819058,-0.822222046,0.411539797,0.997655044,-5.723416192
MFSD13A,10604,0.049445607,10.79990356,0.821696531,0.411838472,0.997655044,-5.723824646
RTEL1,21716,-0.06469344,8.033561185,-0.821675982,0.411850153,0.997655044,-5.723840612
LINC00502,16923,0.054699899,10.56272619,0.821666566,0.411855506,0.997655044,-5.723847928
OR2M2,8896,-0.064747046,8.042130182,-0.821653851,0.411862735,0.997655044,-5.723857808
KRTAP4-8,27166,0.026482991,6.829921013,0.821538315,0.411928419,0.997655044,-5.723947567
SLC25A36,8750,0.011895864,6.625129328,0.821383852,0.412016243,0.997655044,-5.724067551
NTRK2,17626,0.012870541,6.835284606,0.821356345,0.412031884,0.997655044,-5.724088915
CXCL12,3455,0.060124587,8.258949504,0.821302045,0.412062762,0.997655044,-5.724131088
DESI2,16999,0.03284614,7.181996278,0.821260765,0.412086236,0.997655044,-5.724163146
COX6CP3,8712,0.074699651,7.912678752,0.821230586,0.412103398,0.997655044,-5.724186582
LOC102724135,5599,0.01037346,6.558668291,0.821056118,0.412202623,0.997655044,-5.724322053
ZNF398,14836,-0.114499458,10.8936529,-0.821027338,0.412218992,0.997655044,-5.724344396
