probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
1762_at,-1.045003319,7.933730092,-12.68202591,5.68402E-23,7.81419E-21,41.73348847,DMWD
26776_at,-1.044158678,5.710970757,-9.286848203,2.28208E-15,1.83031E-14,24.43012747,SNORA71B
7127_at,-1.04260899,7.622107361,-6.970208613,2.80857E-10,7.79588E-10,12.8847732,TNFAIP2
105371934_at,-1.042360498,6.141611147,-12.68575896,5.57756E-23,7.71965E-21,41.75217266,LOC105371934
140101_at,-1.041645562,7.783956653,-9.471973142,8.74913E-16,7.85696E-15,25.37688272,RBMY2MP
8425_at,-1.039911317,8.844438694,-9.429457529,1.09053E-15,9.44142E-15,25.15931885,LTBP4
5097_at,-1.038807951,6.48089935,-12.35637866,2.97103E-22,2.7663E-20,40.09898785,PCDH1
3166_at,-1.038227046,7.076342708,-11.00051749,3.14978E-19,8.66042E-18,33.2127469,HMX1
81622_at,-1.037888343,6.964341941,-9.594314578,4.64002E-16,4.55038E-15,26.0033151,UNC93B1
7033_at,-1.037855152,7.848171461,-3.376737613,0.001026804,0.001383389,-1.717856483,TFF3
84514_at,-1.037568301,7.731599508,-7.82603264,4.03097E-12,1.5342E-11,17.05688166,GHDC
8714_at,-1.037102033,7.767513971,-4.465375741,2.00561E-05,3.1373E-05,2.01102269,ABCC3
254896_at,-1.03687035,5.760552475,-11.93545502,2.55085E-21,1.55049E-19,37.97372368,LOC254896
6271_at,-1.036250154,7.527335167,-4.685760417,8.33274E-06,1.34953E-05,2.854667562,S100A1
645687_at,-1.035860714,6.713532577,-9.130199447,5.13019E-15,3.73178E-14,23.63034875,LINC00520
12_at,-1.035366805,8.729789104,-4.485537843,1.8527E-05,2.90765E-05,2.087068541,SERPINA3
151306_at,-1.034490098,7.138722026,-6.559925883,2.02929E-09,4.93858E-09,10.94578801,GPBAR1
1209_at,-1.031998352,9.143367139,-10.23877433,1.63564E-17,2.53437E-16,29.3085669,CLPTM1
11230_at,-1.031845586,9.43009349,-8.364873568,2.62081E-13,1.26139E-12,19.74960492,PRAF2
7038_at,-1.030894056,6.007750585,-12.94247717,1.51774E-23,2.52759E-21,43.03820385,TG
4878_at,-1.029995215,7.035462278,-12.46915689,1.6739E-22,1.7986E-20,40.66606086,NPPA
51085_at,-1.029746459,6.839499262,-11.57777718,1.60086E-20,7.13734E-19,36.15806576,MLXIPL
51083_at,-1.029698811,7.235453274,-3.576893168,0.000525786,0.000726735,-1.09165893,GAL
138724_at,-1.028852903,5.907795763,-12.39778468,2.40642E-22,2.41633E-20,40.30730737,C9orf131
25774_at,-1.027767002,6.620959512,-13.45463219,1.15795E-24,3.18716E-22,45.58024511,GSTT4
93185_at,-1.027071011,8.280597515,-8.62136334,7.05159E-14,3.90075E-13,21.04420831,IGSF8
